SZÉV igény szám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email) ,Megjegyzés GYE,Igénylő,
SZÉV2022-206,TRUE,LOG,04.29.,,,04.29.,,M07062,ContiTech Fluid,GildemeisterCT40,"NCT 104 / 15"" ipari LCD monitor",,,CsZ,
SZÉV2022-207,TRUE,GYE,05.02.,,,05.03.,,M10035,KOKILLA PREC ,JCL-60-AHD,hidraulika szivattyú,SVPF-40-55-20T358,kaptunk kiváltót,CsZ,
SZÉV2022-208,TRUE,GYE,05.02.,,,05.07.,,,SZÉV tartalék,,1méter hosszú élvédő,,,DÁ,
SZÉV2022-209,TRUE,GYE,05.02.,,,,,M14319,WOLFMASCH,MM-760,5db asztal dugó ,Az Ügyfél mégsem kéri a dugókat. (visszaütögették őket),,DÁ,
SZÉV2022-210,TRUE,GYE,05.02.,,,05.18.,,,SZÉV tartalék,,8db T anya műhelybe,,,DÁ,
SZÉV2022-211,TRUE,IMP,05.03.,,,08.12.,BET2022/03226,M06222,STEELFORG,Euromill610,munkahenger fedél ,,,DÁ,
SZÉV2022-212,TRUE,GYE,05.03.,,,05.27.,,M10336,Bíró kft.,JSL-32AB,4db NSK 7912 A5 SULP4 (UL-00732),,,DÁ,
SZÉV2022-213,TRUE,GYE,05.03.,,1,06.01.,,M13220,BOMBARDIER,EmB-1605G,ellensúly tartó lánc - 1pár ÁA+szállítási határidő ,,,DÁ,
SZÉV2022-214,TRUE,GYE,05.04.,,,,,M18126,HUONKER,JSL-32ABMs,2db NSKHPS 7013CTRDULP3 csapágy,sztornó ,,DÁ,
SZÉV2022-215,TRUE,GYE,05.04.,,,05.05.,,,SZÉV tartalék,,30db 1 körös omron relé ,,,DÁ,
SZÉV2022-216,TRUE,IMP,05.04.,,,09.22.,,M20087,Suzhou Simos,Suzhou Simos,gépben lévő panelek/hajtásokra kérünk árakat tartaléknak,"kérdés, hogy az SCT32/40/50 gépek paneljei/hajtásai megegyeznek-e? Nem szeretnénk mindenből 3-at tartani raktáron",,CsZ,
SZÉV2022-217,TRUE,LOG,05.05.,,,,,,SZÉV tartalék,,"2db AiS100, 1db AiS132 tartalékba",,,DÁ,
SZÉV2022-218,TRUE,GYE,05.05.,,1,,,M18099,PLASMA-TECH SYSTEMS KFT.,KAFO-NCT CV-7A,1 db DEUBLIN 1109-020-188,,1114-020-188-vel helyettesítve,BÁ,
SZÉV2022-219,TRUE,GYE,05.05.,,0,05.11.,,11-6-5,BOCZ-N KFT.,OKUMA LC-20,"""X""; ""Z"" csapágyak",1 db 6202LLBP5; 2 db 6206LLBP5; 2 db  20TAC47DBG; 2 db 30TAC62DB ,"30tacból nem tud adni Adrián, 20tac-ot még nem kaptunk",BÁ,
SZÉV2022-220,TRUE,GYE,05.05.,,,,,M16142,MST ENGINEERING,HT-76,TBHMA-200 rev. fejhez tájoló csap,nem kaptunk,,DÁ,
SZÉV2022-221,FALSE,ERA,05.06.,,,,,,SZÉV tartalék,,"10-10db görgős kapcsoló, 20db 1 soros omron relé, 5db szerszámoldó tititá kék gomb",,,DÁ,
SZÉV2022-222,TRUE,GYE,05.06.,,,05.17.,,M18005,First-Tech ,VD-510,2db NTN 6206Z csapágy,12.000RPM,,DÁ,
SZÉV2022-223,FALSE,GYE,05.06.,,1,,,M18126,HUONKER,JSL-32ABMs,"2db 7013CTYNSULP4, 2db 7015A5TYSULP4 csapágy",,,DÁ,
SZÉV2022-224,TRUE,IMP,05.06.,,1,07.24.,,M07267,K-KART spol. s.r.o.,TMV-1050A,főorsó alkatrészek,"szerszámmegfogó, behúzószár, behúzó rugó",,BÁ,
SZÉV2022-225,TRUE,GYE,05.06.,,,08.02 ?,,,SZÉV tartalék,,Molex 16B 77X27 gomb cimke tartó ,,,DÁ,
