Igényszám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email),Megjegyzés GYE
SZÉV2021-0306,FALSE,GYE,11.04,,1,,,M12070,Petrus,VD-510,"főorsó: 4 db 40BNR10 SUELP4 (20.000 rpm!)
főmotor: 2 db 6205V (20.000 rpm!)",,Szerintem ez már lezárt
SZÉV2021-0307,FALSE,GYE,11.08,,0,,,M08134,POLIOL PET,EML-510,Z tengely golyósorsó,,
SZÉV2021-0308,FALSE,GYE,11.09,,0,,,M15196/M17191,VÁMOSGÉP KFT.,WFQ-80NCT7,Z tengely golyósorsó,,2022.02.02 bekerült
SZÉV2021-0309,TRUE,GYE,11.16,,0,11.22.,,M12004,GOODWILL-TRADE KFT.,EML-1020D,"""X""-""Y"" golyósorsó csapágyak - 30TAC 8db",,
SZÉV2021-0310,TRUE,GYE,11.16,,0,02.07.,,M20061,DONGFERR KFT.,BNC-2280,"""X"" szíj 475 5M 26mm",,
SZÉV2021-0311,TRUE,IMP,11.17,,0,03.28.,,M13095,HANTECH,TNL-100AL,"munkatérben lévő rugalmas, térelválasztó szövet",,
SZÉV2021-0312,TRUE,GYE,11.17,,0,11.18.,,M08130,Magyarmet,EML-510,"20db szerszámzseb - (20 szerszámhelyes, karos szerszámcserélő SK40)",,
SZÉV2021-0313,FALSE,IMP,11.18,,0,,,M07153,MSK,EmL3000,"""X""-""Y""-""Z"" teleszkópos burkolat",,
SZÉV2021-0314,TRUE,GYE,11.18,,0,11.18.,,M15292,NCT,Glória FQS-40,Bkny. csavar M5x25 (10.9 vagy 12.9) - 50db,,
SZÉV2021-0315,TRUE,IMP,11.19,,,01.07.,BET2022/00051,M15290,KAL-SYSTEM KFT.,BNC-2280,állóbáb retesz,,
SZÉV2021-0316,TRUE,GYE,11.19,,,11.22.,,M09070,BL PLAST (Biolab),EML-1020,Vízipisztoly - 10-00001135-00,,
SZÉV2021-0317,TRUE,GYE,11.19,,,11.21.,,M10119,K-KART,EmR-1200D,"20-00001506-00,Mágneskapcsoló LC1-D38P7 ",,
SZÉV2021-0318,FALSE,IMP,11.22,,,,,M13054,HÁZAK ÁSZA,MM-760,Szerszámtár tárcsa,,
SZÉV2021-0319,FALSE,IMP,11.23,,,,,M08048,POLIOL PET,EmL-610,lineáris vezetékek+papucsok - árajánlat,,
SZÉV2021-0320,FALSE,GYE,11.23,,0,,,M10291,PANNON-SPIRÁL,VMC-1600F,Deublin 1101-632-343 (visszapótlás),,10.26 bekerült
SZÉV2021-0321,TRUE,BABETT,11.24,,,03.22.,,M16142,MST,HT-76,"HPB / VM132L / Ventilátor,10-00028206-00 - 3db",SZR2021/04820,
SZÉV2021-0322,TRUE,GYE,11.24,,0,11.2x,,,Z Elektronika,MM-850,maró asztal záródugó,,
SZÉV2021-0323,TRUE,IMP,11.25,,,01.17.,,-,SZÉV,GSA körasztal,Szelep: Airtac 4V11006 - 5db,10-00026770-00,
SZÉV2021-0324,TRUE,IMP,11.26,,,,,M18306,DUNAFERR LABOR,KAFO CV-7A,Szerszámcserélő kar - DIN40,10-00032866-00,
SZÉV2021-0325,TRUE,LOG,11.26,,,11.30.,,-,SZÉV,-,UPS aksi,20-00002911-00,
SZÉV2021-0326,TRUE,GYE,11.30,,1,12.01.,,M16022,Plastic-Form,KAFO BMC-2015,AiS132 főmotor csapágyak,,
SZÉV2021-0327,TRUE,GYE,11.30,,1,12.01.,,M20145,MSG,KAFO CV-7A,SMC áramlásfigyelő,,
SZÉV2021-0328,FALSE,GYE,12.01,,1,,,M16022,Plastic-Form,KAFO BMC-2015,főorsó csapágyak,,12.13 bekerült
SZÉV2021-0329,FALSE,GYE,12.01,,,,,-,SZÉV,MM760,Védő üveg (elülső) PC4.5/4 / (355X610X15mm),10-00009189-00,
SZÉV2021-0330,TRUE,IMP,12.01,,,02.17.,BET2022/00760,M10003,KOKILLA PREC KFT.,EML-510B,Ellensúly megvezető+görgők+lánc,,
SZÉV2021-0331,FALSE,GYE,12.02,,1,,,M14093,Unitool,EmR-1020D,AiS100 főmotor csapágyak,,Ezt már megkaptátok?
SZÉV2021-0332,TRUE,GYE,12.07,,,12.20.,,-,Majer Attila Ev,EEN-400,EEN-400/750 Z golyósorsó (92-961),10-00010854-00,
SZÉV2021-0333,FALSE,IMP,12.08,,,,,M15168,HAJDU AUTOTECHNIKA IPARI ZRT.,EmB-2004D,szerszámcserélő kar - DIN40-700mm teljes hossz,,
SZÉV2021-0334,FALSE,IMP,12.13,,,,,M15131,METAGALAX,EmR-1200D,"""X"" tengely golyósorsó",,
SZÉV2021-0335,FALSE,IMP,12.14,,,,,M16022,Plastic-Form,KAFO BMC-2015,főorsó,,
SZÉV2021-0336,TRUE,GYE,12.15,,1,12.16.,,M17237,GIA FORM,MM-850SV,10db - 30TAC golyósorsó csapágy,,
SZÉV2021-0337,TRUE,IMP,12.15,,0,06.10.,,M11257,GRIF-TOOLS KFT.,SMART-42,X+Z golyósorsó (2+1db),10-00033050-00,10-00033051-00
SZÉV2021-0338,TRUE,GYE,12.15,,,02.08.,,M15256,NÉMETH ISTVÁN EV,MM-760,levegőszelep,,küldjük 02.07
SZÉV2021-0339,TRUE,GYE,12.15,,,12.16.,,M15292,NCT,Glória FQS-40,6203-2Z csapágy,Kiss Feri,
SZÉV2021-0340,TRUE,IMP,12.17,,,03.25.,,M09132,MEDIMETAL KFT.,Körasztal: GoldenSun-CNCT-101,fék gyűrű szett,FCL460/MM-760,
SZÉV2021-0341,FALSE,GYE,12.17,,1,,,M17244,GAMMA MECHANIKA,MM-850,4 db 7012CTRDULP3 főorsó csapágy (főorsó max. fordulat 8.000 rpm),,Ezt már megkaptátok?
SZÉV2021-0342,FALSE,GYE,12.21,,0,,,M17244,GAMMA MECHANIKA,MM-850,Deublin 902-120-188,,bekerült 12.21
SZÉV2021-0343,TRUE,IMP,12.22,,0,03.22.,,M19081,T.E.T.T. Mérnökiroda Kft.,BMC-3127,Ajtógörgő 8 set (4 set az ügyfélnek + 4 set SZÉV),,
SZÉV2021-0344,TRUE,GYE,12.22,,1,,,M18120,EMPLASTRUM KFT.,EmL-610B,4 db 60BNR10STSUELP3,,
SZÉV2021-0345,FALSE,GYE,12.22,,1,,,M13148,Scintilla,EmL-510B,"1 db Deublin 902-120-188, 4 db NTN7012UC G / GNP4",,nem kaptam igényt!
SZÉV2021-0346,FALSE,IMP,12.22,,0,,,,,510,Főorsó szíjtárcsa pár átm.120-as kis tubusú Royal 5GT-s főorsóhoz,,
SZÉV2021-0347,FALSE,,,,,,,,,,,,
SZÉV2021-0348,FALSE,,,,,,,,,,,,
SZÉV2021-0349,FALSE,,,,,,,,,,,,
SZÉV2021-0350,FALSE,,,,,,,,,,,,
SZÉV2021-0351,FALSE,,,,,,,,,,,,
