Iktatószám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email),Megjegyzés GYE
SZÉV2019-0265,0,GYE,07.01,,0,,,M07018,Kovács János Ev.,TNL100ADT,komplett levegőelőkészítő egység,,
SZÉV2019-0266,0,GYE,07.02,1,0,07.25,,M11131,Fortaco,FMC-2,áramlásőr,HD2K-010GM008,"07.03. Hennlich - RENDELÉS - SZR201902633 - SZÉV2019-0266 - M11131 FMC-2 - Áramlásőr
Díjbekérőt várjuk"
SZÉV2019-0267,0,IMP,07.03,,0,,,,Szkaliczki,1200,Kaukan KAC-6FS,elektromos szekrény klíma,
SZÉV2019-0268,0,GYE,07.03,,1,07.08,,M18118,Sc. Oteluri Si Debitari SRL.,BAOMA-NCT DK-7732F,-6004RS csapágy - 8db,SOS,
SZÉV2019-0269,0,GYE,07.04,,0,08.12,,M13194,Metal 99 Kft.,MCB-1604,Ellensúly rúd megvezető perselyek,"Igény: Árajánlat tételesen a következőkre

[17] HWD-M6 Washer - 2 pc
[18] HRTW-R45 Axis snap ring - 2 pc
[19] BR-LM-30 Bearing BR-LM-30 - 2 pc
[20] VL-102-C024A Weight counter balancing housing (below) - 1 pc
[22] VL-102-C023A Weight counter balancing housing (up) - 1 pc",
SZÉV2019-0270,0,GYE,07.04,,0,08.12,,M11037,Norton 4 Kft.,EmR-1020D,Főorsó csapágyak 10.000 rpm,"Gépépítőelem: Royal 10.000 rpm főorsó
Igény: Árajánlat 2 pár vagy 4 db SKF 7014 CDGAT/HCVQ253 vagy ezzel megegyező csapágyra",08.12. BD: bekerült
SZÉV2019-0271,0,GYE,07.02,,0,07.04,,M07068/M18338,Gamma Műszaki Zrt.,Euromill-510,Főorsó nyomásfokozó,"Gépépítőelem: Hao Cheng nyomásfokozó, (3500 kg, löket = 13mm, átmérő: 100mm)
Igény: 1 db Hinaka BPT-10U5S35L13M

Megjegyzés: az új nyomásfokozó bekerült a SZÉV-be, és kiváltója a réginek",07.04. BD: bekerült
SZÉV2019-0272,0,GYE,07.04,,0,07.09,,-,SZÉV,AiS100,AiS100 főmotor Deublinok,"1 db Deublin 1109-020-188, 1 db Deublin 902-120-188",07.09. BD: bekerültek
SZÉV2019-0273,1,BABETT,07.08,,1,,,M12200,Vámosgép Kft.,WFQ-80,Baruffaldi CE13 hajtómű motor,,
SZÉV2019-0274,0,GYE,07.08,,1,,,M09033,CONSYSTECH,JSL-32ABMS, szelep (MVSC-220-4E1),csatolt képek ,
SZÉV2019-0275,0,GYE,07.09,,0,07.15,,M14039,Metarad,TNL-100ADT,TNL100 Főhajtás szíjak,2 db 3x11MS-1900 főhajtás szíjak (3 pályásak),"07.15. BD: bekerült a 3x11MS1700 szíj, az 1900 pedig vissza"
SZÉV2019-0276,0,GYE,07.09,,0,07.15,,-,SZÉV,-,SZÉV anyagigény,"Igény: tételesen

- 6 db anakonda tömszelence
- 1 db 6310 ZZ C3 csapágy
- 1 db 6312 ZZ C3 csapágy
- 6 db 25TAC golyósorsó csapágy
- 6 db 30TAC golyósorsó csapágy
- 3 db 565-5M-25 szíj
- 1 db 575-5M-20 szíj
- 2 db 780-AT10-32 (Kondia) szíj
- 10 liter VG22 hajtómű olaj
- 5 db Karmanytú M12x1,5
- 5 db Karmantyú M20x1,5
- 3 db Karmantyú M40x1,5
- 2 db Ø55 Ringfeeder - bejött!","csapágyak és szíjak ok-
BD: karmantyúk, olaj is oké"
SZÉV2019-0277,0,IMP,07.09,,0,10.15,,-,Bombardier,Mitsubishi MPA H-50A,Szerszámtartó bakelit,,"07.22. BD: magyarországi forgalmazó nem tud beszerezni ilyet;
10.15. BD: beérkeztek"
SZÉV2019-0278,0,ERIKA,07.09,,0,07.10,,-,SZÉV,-,Phoenix Contact stekker,,Bekerült
SZÉV2019-0279,0,GYE,07.10,,0,07.11,,M15116,Szkaliczki,EmR-1020D,20 baros szűrő+szűrőház,VD-510-en használt,Bekerült
SZÉV2019-0280,1,FOGARASI RAKTÁR,07.10,,0,,,Páraelszívó:YMC YHB-350,Mobilinter,,szűrőbetét,,Fogarasi raktár
SZÉV2019-0281,0,GYE,07.12,,1,,,,KA-SPAN Kft.,SV-1000,Kaukan KO6-PTS klíma,"Hibajelenség: a kompresszor bekapcsol, de nem hűti az olajat, nagyon meleg van a kompresszortérben.","Kell a transit,hogy be tudjuk küldeni"
SZÉV2019-0282,0,GYE,07.12,,1,,,,First-Tech Kft.,TB-20Y,322ME szelep + érvéghüvely,,
SZÉV2019-0283,0,GYE,07.15,,0,07.30,2019/000000685,M13307,BLAUFORM,EmL-610B,16db - Szerszámtartó zsebek esernyős szerszámcserélőhöz / SK40/ DIN40,10-00006929-00,
