Iktatószám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email),Megjegyzés GYE
SZÉV2019-0443,0,GYE EG,11.26,,0,12.03,,M07361;M18020,Petrus,TMV-850A,TMV-850 8000 rpm főorsó javítás,"2 db NSK 70BNR10HTYNSUELP3 golyóscsapágy, 1 db N1012BTKRCC1P4 hengergörgős csapágy",
SZÉV2019-0444,0,BABETT,11.26,,0,02.10,,M16199,Brooks Instruments,GS-65,Index szinkronorsó tömítések,,02.10. beérkeztek
SZÉV2019-0445,0,GYE EG,11.27,,0,01.23,,-,BKV-VJSZ KFT,EEN-400,"""Z""golyósorsó + csapágy",árat kérnénk elsőre,"11.28. EG: ÁA elküldve, 12.04. Elfogadták az árajánlatot! Jöhet az anyag! Cs.Z.
01.23.: csapágyak is beérkeztek"
SZÉV2019-0446,1,LOG,11.28,,0,,,-,SZÉV,-,"G150XTN06 V4,20-00004202-06","NCT104 - 15"" monitor tartalék",
SZÉV2019-0447,1,IMP,11.28,,1,,,M17117,IQ Kecskemét,BNC-446,Future Life CHDW-AE-124 enkóder,árat kérnénk elsőre,
SZÉV2019-0448,1,LOG,11.29,,0,,,-,TEREX Cranes Hungary,Strigon MC2100,EZG730 alkatrész rendelés,,
SZÉV2019-0449,0,LOG,11.29,,0,,,-,SZÉV,-,EZG710 és 720 tekercselés,,
SZÉV2019-0450,0,IMP,12.02,,0,,,-,SZÉV,-,Parker nagynyomású víz egység,,
SZÉV2019-0451,0,GYE,12.03,,0,12.20,2019/000001292,-,GALAKTIKA,EEN-400,"""Z"" vezeték koszlehúzó gumi",,
SZÉV2019-0452,0,GYE,12.03,,0,12.06,,M07361;M18020,Petrus,TMV-850A,SMC levegős T elosztók,"3 db 10/10-es T csatlakozó, ágon G1/4"" menetes, 3 db 10/10-es T csatlakozó, ágon G3/8"" menetes ",Január 08. ra várható
SZÉV2019-0453,x,GYE,12.04,,x,12.14,,-,SZÉV,-,SZÉV eszközigény - Fairtool,SZTORNÓ,
SZÉV2019-0454,0,GYE,12.05,,0,12.13,2019/000001225,-,SZÉV,-,Csapágyigény 2019.12.05.,,"12.09. BD: 2 db 6306 ZZ C3 beérkezett, hátralék:
2 db 6306 ZZ C3
2 db 6203 ZZ C3
4 db 6209 ZZ C3
12.14. BD: beérkezett minden"
SZÉV2019-0455,0,IMP,12.09,,0,12.17,,M13243,Bíró Kft. ,TAJMAC.ZPS.H400.MMK-004,Tajmac B-tengely szíj,,12.17. BD: szíjak beérkeztek
SZÉV2019-0456,0,GYE,12.10,,0,01.29,,-,SZÉV,-,Lemezlyukasztó készlet,,01.27. beérkezett
SZÉV2019-0457,0,GYE,12.11,,0,12.12,,M13206,Industriebedarf Krüger,HG-400III,Maradék tömítések gépasztalhoz,,12.13. BD: beszereztük
SZÉV2019-0458,0,IMP/GYE,12.14,,0,01.17,,M13150,Kormány Kft.,TNL130ADT,BF-1500 rúdadagoló levegős szelep,,"01.17. BD: megoldható belföldről, beérkeztek"
SZÉV2019-0459,0,GYE,12.16,,0,12.20,,M16142,MST Engineering,HT-76,Főorsó tokmány hidraulika szelep,1 db WE-2D2-02G-D2-30 24V,S.A. Fejes A. megkapta - kicserélte ugyna olyanra. Leszerelt új alkatrész
SZÉV2019-0460,0,IMP,12.17,,0,03.25,,M12236,Járműszerelvény Gyártó Zrt.,JSL-20AB,Barload BEG rúdadagoló alkatrészek,,
SZÉV2019-0461,,,,,0,,,-,SZÉV,-,Mágneskapcsoló / Schneider LC1-D12P7 20-00001502-00 2 db,"
",
SZÉV2019-0462,0,GYE,,,0,01.06,,M18126/P18088,Huonker,JSL-32ABMs,JSL motororsó javítás,,01.06. BD: SZÉV elhozta a csapágyakat a Pannontól
SZÉV2019-0463,0,IMP,,,0,11.10,,M18030,Fémtek 1971 Kft.,KMC-2622,Orsóház szellőztetés motor,,
SZÉV2019-0464,0,GYE,,,0,01.06,2019/1295,M17110,Hanon Systems,EmL-510B,EmL-510 főorsó javítás,,01.06. BD: beérkeztek
SZÉV2019-0465,,,,,,,,,,,,,
SZÉV2019-0466,,,,,,,,,,,,,
SZÉV2019-0467,,,,,,,,,,,,,
SZÉV2019-0468,,,,,,,,,,,,,
SZÉV2019-0469,,,,,,,,,,,,,
SZÉV2019-0470,,,,,,,,,,,,,
SZÉV2019-0471,,,,,,,,,,,,,
SZÉV2019-0472,,,,,,,,,,,,,
SZÉV2019-0473,,,,,,,,,,,,,
SZÉV2019-0474,,,,,,,,,,,,,
SZÉV2019-0475,,,,,,,,,,,,,
SZÉV2019-0476,,,,,,,,,,,,,
SZÉV2019-0477,,,,,,,,,,,,,
SZÉV2019-0478,,,,,,,,,,,,,
SZÉV2019-0479,,,,,,,,,,,,,
SZÉV2019-0480,,,,,,,,,,,,,
SZÉV2019-0481,,,,,,,,,,,,,
SZÉV2019-0482,,,,,,,,,,,,,
SZÉV2019-0483,,,,,,,,,,,,,
SZÉV2019-0484,,,,,,,,,,,,,
SZÉV2019-0485,,,,,,,,,,,,,
SZÉV2019-0486,,,,,,,,,,,,,
SZÉV2019-0487,,,,,,,,,,,,,
SZÉV2019-0488,,,,,,,,,,,,,
SZÉV2019-0489,,,,,,,,,,,,,
SZÉV2019-0490,,,,,,,,,,,,,
SZÉV2019-0491,,,,,,,,,,,,,
SZÉV2019-0492,,,,,,,,,,,,,
SZÉV2019-0493,,,,,,,,,,,,,
SZÉV2019-0494,,,,,,,,,,,,,
SZÉV2019-0495,,,,,,,,,,,,,
SZÉV2019-0496,,,,,,,,,,,,,
SZÉV2019-0497,,,,,,,,,,,,,
SZÉV2019-0498,,,,,,,,,,,,,
SZÉV2019-0499,,,,,,,,,,,,,
SZÉV2019-0500,,,,,,,,,,,,,
