SZÉV igény szám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás/Betárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email) ,Megjegyzés,Igénylő
SZÉV2023-001,TRUE,ERA,01.09.,,,,,,SZÉV tartalék,,"3x1,5m 50m kábel
5x0,75 50m kábel 
3x0,75 50m kábel
2x0,75 50m kábel
3x1,5 30m kábel
4x1,5 narancssárga 50m kábel  
4x2,5 narancssárga 50m kábel
3db Omron K8DT-PM2CN (vagy K8AK-PW2) fázisfigyelő
2db Omron H3DK-M1 időrelé
5db XB5 AW33B5 kék gomb
5db XB5 AW31B5 fehér gomb
10db 4-es induktív NO
10db 4-es induktív NC
10db 5-ös induktív NO
10db 5-ös induktív NC
5db 8-as NO-s induktív,
5db 8-as NC-s induktív
5db 12-es NO-s induktív,
5db 12-es NC-s induktív,",Elektromos készlet feltöltés ,Era,DÁ
SZÉV2023-002,TRUE,GYE,01.09.,,,01.10.,,,SZÉV tartalék,,"2db 10-00032953-00 Mindman mágnesszelep MVSC-300-4E1
2db Hinaka HNS523S-DC24V-A szerszámoldó munkah. szelep
2db MVSC-220-4E1-DC24-L szelep
2db MVSC-260-4E2 (DC24 asszem) szelep
5db SB-30 szűrő
5db Danfoss nyomáskapcsoló/szabályzó dobozka
10db 10-01000251-00 Mágnesszelep vízhez BB 3/4""-os menettel + ZB10A mágnes + stekker
10db 10-01000175-00 Mágnesszelep vízhez BB 1/2""-os menettel + ZB10A mágnes + stekker",Mechnaikus készlet feltöltés ,Danfossal tartozom,DÁ
SZÉV2023-003,TRUE,LOG,01.09.,,,01.11.,,,SZÉV tartalék,,"5db EPU kártya (40-10364)
5db EPU-R kártya (40-10364-20)
5db EPU-SIS kártya (40-10364-10)
5db TTLAI kártya (40-10379)
5db TTLCAN (40-10379-02)
3db ENDAT (40-10379-03)",Kártyák készlet feltöltés,,DÁ
SZÉV2023-004,TRUE,GYE,01.09.,,,,,,SZÉV tartalék,,"2db 30TAC62CSUHPN7C
6db 35TAC72CSUHPN7C
6db 40TAC72CSUHPN7C
4db 51104
2db 51204 ",Csapágyak készlet feltöltés ,ok,DÁ
SZÉV2023-005,TRUE,GYE,01.09.,,,2023.01.11,,M11045,Doroti Pack Kft.,EmR-610D, 4db 7012 FEGA/HCP4A csapágy,"Royal 154272
15.000rpm",ok,DÁ
SZÉV2023-006,TRUE,IMP,01.10.,,,,,,K-Kart,TMV-1050-1,"""Z"" tengely védőburkolat // TMV-1050",10-00007031-00,,CsZ
SZÉV2023-007,TRUE,IMP,01.10.,,0,05.20,,M17244,Gamma Műszaki Zrt.,MM-850,Royal főorsó sn:372278-nek teljes egészében csere darabja,,,BÁ
SZÉV2023-008,TRUE,GYE,01.11.,,0,,,M11161,EFT,JCL-60AHD,hidraulika olajhűtő,,ok,LR
SZÉV2023-009,TRUE,IMP,01.11.,,0,,,M15266,Max-Go Kft.,MM-760,"""Y"" első slepp",,,BÁ
SZÉV2023-010,TRUE,GYE,01.11.,,0,01.12,,,Metalforg-Tec Kft,,EL-850 / Vizezőpisztoly,10-00037251-00,ok,CsZ
SZÉV2023-011,TRUE,ERA,01.11.,,,01.25,,,SZÉV tartalék,,5db Manford gépek / Világítótest / LED lámpa (hosszúkás-szögletes)  GLE-L8-24R,10-00007001-00,3db jött,CsZ
SZÉV2023-012,TRUE,GYE,01.11.,,1,01.13,,M13243,BÍRÓ Kft,Tajmac ZPS H400,"2 db 7212 AA
2 db 7205 AA",,ok,BÁ
SZÉV2023-013,TRUE,GYE,01.12.,,,,,M22050,HAHN+KOLB HUNGÁRIA KFT. (GANZ MOTOR KFT.),EML-1200E,1db Forgácskihordó motor Sesame G12V200S-100,,ok,DÁ
SZÉV2023-014,TRUE,GYE,01.17.,,,,,,SZÉV szerszám,,szerszám rendelés,"tartozás miatt nem lett megrendelve, nem aktuális már","Folyamatban , előleg bekérő utalási listában haberkorn fairtool 20230124",DÁ
SZÉV2023-015,TRUE,GYE,01.19.,,0,01.23,,M21076,HD-ROTATECH,MM-850SV,levegőelőkészítő csésze vízező,5-db,1db beküldve. 5 darab utalási listában 2023/01/24,CsZ
SZÉV2023-016,TRUE,GYE,01.19.,,1,,,M16018,Plastic Form,EmR-1200D,4 + 4 db SKF 7014 CDGAT/HCVQ253,,ok,BÁ
SZÉV2023-017,TRUE,IMP,01.20.,,1,03.09,,M18339,SZEGEDI SZAKKÉPZÉSI CENTRUM 062108,Shem CD-6241/1000 hagyományos eszterga,"gépkönyvet, alaktrész lsitás kérünk, mert az előtolás irányválasztó kapcsolójának az egyik füle letörött és szeretnénk egy rajzon pontosan bejelölni, hogy mire van szükségünk",,,LR
SZÉV2023-018,TRUE,IMP,01.20.,,0,,,M14017,AI LAB S.C.,BNC-446,slepp lehúzó gumi (melléklet),,,BÁ
SZÉV2023-019,TRUE,IMP,01.20.,,0,,,M13049,MST Engineering,EmB-1604B,"főhajtás dokumentáció
később szíjtárcsák",,,BÁ
SZÉV2023-020,TRUE,GYE,01.20.,,0,,,M15173,VÁRDA VULKÁN KFT,EmB-1605G,Főorsóba 5 db FAG B7020-C-T-P4S-UL csapágy,Nem kérik!,JKSZ - Stornó,CsZ
SZÉV2023-021,TRUE,GYE,01.24.,,,,,,SZÉV,,mosóhoz cuccok,,Folyamatban ,DÁ
SZÉV2023-022,TRUE,GYE,01.30.,,,,,M14229,METARAD CNC KFT. ,TCS-1500,1db + 4db tartalék csatos zár,nem aktuális már,,DÁ
SZÉV2023-023,TRUE,ERA,01.30.,,,05.11,,,SZÉV tartalék,,3db omron d4bl-2cra TNL ajtóretesz ,,,DÁ
SZÉV2023-024,TRUE,GYE,01.30.,,,,,,SZÉV tartalék,,"4 db FAG B7012-C-T-P4S-UL
4 db FAG B7011-E-T-P4S-UL",csak szükség esetén- B,,DÁ
SZÉV2023-025,TRUE,IMP,01.31.,,0,,,M13058,EL-ZET,MM-760,esernyős tár alkatrész,melléklet,,BÁ
SZÉV2023-026,TRUE,GYE,01.31.,,,,,,SZÉV tartalék,,5-5db FF06 3/4-es szűrőház + szűrő,szomszédból- B,,DÁ
SZÉV2023-027,TRUE,HDH,02.01.,,1,,,16198,TRIMBLE,TNL-100,"HDH ERN 1381 2048 62S12-30
id.: 334 642-02",OK,,BÁ
SZÉV2023-028,TRUE,ERA,02.01.,,,05.11,,,SZÉV tartalék,,"0,14 ; 1,5 ; 2,5 érvéghüvely",,,DÁ
SZÉV2023-029,TRUE,IMP,02.02.,,0,08.08,,M18274,K-Kart,MXS-650DD,2 db szerszámváltó kar,Júli közepén várható Taksonyba,,BÁ
SZÉV2023-030,TRUE,ERA,02.02.,,0,,,M14235,Schunk Carbon,AXA VSC-2,kábelek (A2023/00379),,,BÁ
SZÉV2023-031,TRUE,GYE,02.03.,,1,,,M19060,PCE,VL-125C karusszel,főmotor jeladó kuplung,,az Ügyfél beszerezte magának,LR
SZÉV2023-032,TRUE,GYE,02.06.,,,02.07,,,SZÉV tartalék,,5db Airtac 4V110-06 szelep,,,DÁ
SZÉV2023-033,TRUE,IMP,02.06.,,0,,,M18227,MST Engineering,MM-850E,biztonsági üvegekre méret+árajánlat,365x665x4.5,Nem kérték még,CsZ
SZÉV2023-034,TRUE,GYE,02.06.,,1,,,M21070,SPH,KAFO CV-7A,HABOR HBO-400PTSBM3 olajhűtő klíma,"kaptunk kiváltót, majd visszaadjuk- B",,LR
SZÉV2023-035,TRUE,GYE,02.06.,,0,,,-,SZÉV tartalék,-,"18 db 30TAC...
18 db 40TAC...","OK
OK",,BÁ
SZÉV2023-036,TRUE,GYE,02.07.,,1,,,M09033,Consystec,JSL-32ABMS,WALRUS szivattyú / TPHK 4T6-6,kérlek küldtök egyet (vagy kiváltót?) 10-00028831-00,Nem kérték még,CsZ
SZÉV2023-037,TRUE,GYE,02.07.,,0,,,-,SZÉV tartalék,-,"3 db DEUBLIN 1109-020-188
3 db DEUBLIN 902-120-188","2 db OK
2 db OK",,BÁ
SZÉV2023-038,TRUE,GYE,02.08,,1,,,-,MST Engineering,-,Geka Ideal nikkelezett állítható fejű és végű pisztoly,"5-db vizitisztolyt + 10-00001134-00 1/2""-os tömlővéges vízstoppos csatlakozó, továbbá kérünk még 6db-ot",10-00001135-00,CsZ
SZÉV2023-039,TRUE,IMP,02.10.,,1,,,M10119,K-Kart,EmR-1200D,"""Y"" első slepp",,,BÁ
SZÉV2023-040,TRUE,GYE,02.13.,,1,,2023/00000316,M19095,MAGYARMET KFT.,VD-510S,4 db 7008UCG/GNP4 - NTN csapágy,,,BÁ
SZÉV2023-041,TRUE,GYE,02.13.,02.15,1,,,M13049,MST Engineering,VFC-1600F,tárforagató motor: Gongji - SHSM02182BA11,,Bontottat kaptunk,CsZ
SZÉV2023-042,TRUE,GYE,02.14.,,,,,,SZÉV tartalék,,2db manford mosó pisztoly,10-00037251-00,,DÁ
SZÉV2023-043,TRUE,ERA,02.15.,,0,-,,-,Schunk Carbon,-,"10 db 20-00000074-00 ajtóretesz
10 db 20-00014954-00 nyelv",Babett küldött ajánlatot ?!,,BÁ
SZÉV2023-044,TRUE,IMP,02.16,,0,05.20,,-,SZÉV tartalék (M13049 MST Engineering VFC-1600F EmB-1604B),-,1+3 db GONGJI SHSM02182BA12 karos szerszámtár tár forgató motor,,,BÁ
SZÉV2023-045,TRUE,GYE,02.16.,,0,SZTORNÓ!,,M11253,Prímaró kft.,Smart-42,3db 10-00004052-00 SPZ1700 szíj,,,CsZ
SZÉV2023-046,TRUE,IMP,02.20.,,0,04.18.,,-,SZÉV tartalék,-,"10-00007001-00 Led lámpa H20-LS303 (7 izzós,
kerek,rövid szárral) - 15db + 10-00007001-00 LED lámpa (hosszúkás-szögletes)  GLE-L8-24R - 10db",,,CsZ
SZÉV2023-047,TRUE,GYE,02.21.,,0,03.21.,2023/000000297,-,SZÉV tartalék,-,2 db DEUBLIN 902-120-188,,,BÁ
SZÉV2023-048,TRUE,GYE,02.22.,02.23,0,,,-,VKSZ,-,4db levegőpisztoly + spiráltömlő,,,CsZ
SZÉV2023-049,TRUE,IMP,02.22.,,0,06.??.,,M16136,Loko Trans,VL-100C,Hinaka DIC-40M530PPV-006 pneu munkahenger,,kiváltót megfuttatni SMC-nél,BÁ
SZÉV2023-050,TRUE,GYE,02.22,,0,,,M06272,Nivelco,TMV-850A,"1 db 32010AX - ZVL
1 db 32011AX - ZVL
1 db 6301
2 db NKX 15-2 - SKF",,,BÁ
SZÉV2023-051,TRUE,GYE,02.24.,,,05.03,,M21002,Varrivál,VMC-1600F,610x880x6mm 3+3 mm Biztonsági ragasztott üveg,SZÉV2021-0274  alapján,,DÁ
SZÉV2023-052,TRUE,GYE,02.24.,,,05.03,,M21001,Varrivál,LD-65 (Dual-65),670x730x15mm PC 4.5 mm+üveg 4mm,IMP -> GYE,,DÁ
SZÉV2023-053,TRUE,GYE,02.27.,,0,05.03,,M10004,Unify,TNL-130A2,Biztonsági üveg ragasztott 515x395x20,10-10006118-00,,CsZ
SZÉV2023-054,TRUE,IMP,03.01.,,0,09.01,,M18054,METÁL-CNC 2000 KFT.,EML-1020,"20db - 10-00006929-00,Tartalék / Szerszámtartó zsebek esernyős szerszámcserélőhöz / SK40/ DIN40",,,CsZ
SZÉV2023-055,TRUE,GYE,03.02.,,,04.11,,M11374,TS HUNGÁRIA KFT.,BNC-40120,1 db ED-0007-00 Spec. központi csúcs KNCS-NB-325-104-A11 (SMW-539466)  / Losonczi,,,BÁ
SZÉV2023-056,TRUE,GYE,03.02.,,0,-,,M08020,GRIF-TOOLS KFT.,EmL-610,Szíj 835-5M-30mm,"830-at kaptunk, mikor aktuális lett a projekt",,CsZ
SZÉV2023-057,TRUE,GYE,03.02.,,0,,,M08100,Le Belier,WHN-9B,"1 db 6307 2Z C3 - SKF
1 db 6309 2Z C3 - SKF",,,BÁ
SZÉV2023-058,TRUE,GYE,03.02.,,1,,,M17238,H-Metal,MM-850D,4 db 5S-LAC  HSE012CT BGCS02P4 - NTN,,,BÁ
SZÉV2023-059,TRUE,ERA,03.06.,,,05.11,,,SZÉV tartalék,,"3x0,75 25méter kábel",,,DÁ
SZÉV2023-060,TRUE,LOG,03.07.,,,03.08,,nincs adat,Cooptim,TMV400,Ai5-54-40-EH/4096-Z2,,,DÁ
SZÉV2023-061,TRUE,ERA,,,,,,M19190,GYŐRI MŰSZAKI SZAKKÉPZÉSI CENTRUM JEDLIK SZKI,Tomill-160,1db Omron D4GL-1AFA-A ajtóretesz (+tarcsi),nem ezt használjuk már,,DÁ
SZÉV2023-062,TRUE,LOG,03.08.,,,03.13,,M19190,GYŐRI MŰSZAKI SZAKKÉPZÉSI CENTRUM JEDLIK SZKI,Tomill-160,1db A2-54-30-EH/4096,,,DÁ
SZÉV2023-063,TRUE,IMP,,,,07.20,,,SZÉV tartalék,,"4db 5GT-900-30
4db 5GT-800-30
4db 5GT-700-30
2db 5GT-695-30
2db 5GT-675-30
2db 5GT-450-20",Manford,,DÁ
SZÉV2023-064,TRUE,GYE,03.10.,,0,03.13,,M16054,SCHMIED-TECHNIK,TCS-2500LDT,VDI40 szorító dió,3db-t kérnénk,,CsZ
SZÉV2023-065,TRUE,GYE,03.10.,,1,,,M11302,Hantech,Pinacho-ST-310DT,"1 + 2 db tömbös nyomáshatároló, min. 30 bar, kézi tekerő",1 db ok,,BÁ
SZÉV2023-066,TRUE,GYE,03.10.,,0,,,???,MIAS,MZP3000x10000,"2 db 6200 2Z - SKF Exp.
1 db 6310 ZZ C3 - SNR
1 db 6312 ZZ C3 - SNR",,,BÁ
SZÉV2023-067,TRUE,GYE,03.13.,,1,,,M18180,DGA,BMC-2012,"1 db ""VD-510-re való szivattyú""",,,BÁ
SZÉV2023-068,TRUE,IMP,03.13.,,1,,,M10123,UNIFY KFT,EmL-610B,HABOR E-37TE-001 klímahűtő vezérlő egyég,megjavítóttuk,,CsZ
SZÉV2023-069,TRUE,GYE,03.13.,,,08.09,,,SZÉV tartalék,,Pál Ignác szerszámok,,,DÁ
SZÉV2023-070,TRUE,ERA,03.20.,,,03.21,,,SZÉV tartalék,,"PG16, PG9, PG7 gégecső",,,DÁ
SZÉV2023-071,TRUE,LOG,03.21.,,,,,,SZÉV tartalék,,"IPS1, IPS2",nincs készleten LOG-nak,,DÁ
SZÉV2023-072,TRUE,GYE,03.22.,,1,,,,Metall-Techno,Kondia K-1050,1+1 db 960-AT10-50,,,LR
SZÉV2023-073,TRUE,GYE,03.22.,,,03.23.,,M20151,SL-Forg ,KAFO-NCT CV-7A ,karforgató motor,,,DÁ
SZÉV2023-074,TRUE,GYE,03.22.,,,03.23.,,,Esztergomi Szggy,," tengelykapcsoló 19/5,3-26,5-05H7-06H7",10-00007118-00,,CsZ
SZÉV2023-075,TRUE,IMP,03.24.,,1,2024.03.05,,M20151,SZÉV + Taksony tartalék,KAFO-NCT CV-7A,"6db karforgató motor
+ fék alkatrészek",Kao Fong - Type FM E22,,DÁ
SZÉV2023-076,TRUE,IMP,03.24.,,,,,,-,,,,,
SZÉV2023-077,TRUE,GYE,03.27.,,1,,,M18007 / M15230,SL-Forg / Kelet Szerszám,VD-510S,"4 db 5S-7008UC GD2/GLP4 - NTN 20000RPM / 
4 db HC7008-C-T-P4S-UL - FAG 20000RPM",,,BÁ
SZÉV2023-078,TRUE,GYE,03.27.,03.29.,1,,,B6840,Metall-Techno,K-1050,4 pár d=55; D=62; h=9 ring feeder gyűrű,,,BÁ
SZÉV2023-079,FALSE,IMP,03.27.,,0,,,-,SZÉV tartalék,VD-510S,főorsó alkatrészek és szerszámtár,,,BÁ
SZÉV2023-080,TRUE,GYE,03.27.,,0,SZTORNÓ,,M17194,Schunk Carbon,Reckermann,2 db INA ZKLN 3062 2RS - FAG,,ÜF intézi,BÁ
SZÉV2023-081,TRUE,GYE,03.28.,,1,,,M11373,TS HUNGÁRIA KFT.,BNC-26120-teng.eszt,Baruffaldi Revfej:TAN-210/4(függ.teng) - tárcsás kapcsoló,1db csatolt kép a kapcsolóról,ez már el lett hozva,CsZ
SZÉV2023-082,TRUE,IMP,03.28.,,1,"SZTORNÓ!,2024.12.06.",BET2024/04198 5db érkeztt,M12072,DUNA PRECIZIÓS KFT.,VD-510S,SVM75 főmotor jeladó szenzor RGM2G-D4-V3Z 12-27-20345,1 db csatolt kép a szenzorról,jeladó tárcsa átmunkálás FÉMO,HA
SZÉV2023-083,TRUE,GYE,03.30.,,0,SZTORNÓ!,,M19023,NIVELCO ZRT.,TCS-2500L\74,Igény: árajánlat csapágyakra: - 1 db NN3024-AS-K-M-SP - 1 db NN3026-AS-K-M-SP - 1 db 130BTR10STYNDBLP4A,"Főorsó: 3500 rpm, A2-8 tokmánnyal szerelt.
ÁA ok, elfogadásra vár- B",,CsZ
SZÉV2023-084,TRUE,ERA,03.31.,,,,,,SZÉV tartalék,,"Schneider 6,3-10A Motorvédők",,,DÁ
SZÉV2023-085,TRUE,GYE,03.31.,,,,,-,CONTROLSYSTEM,TNL-100,csatolt képen szereplő kuplung,,SZÉV talált ,CsZ
SZÉV2023-086,TRUE,LOG,04.03.,,,04.03,,M11266,Radics,MM-760,1db A9-54-30-EH/E-Z1 (40-00010403-60),használtat kapunk,,DÁ
SZÉV2023-087,TRUE,LOG,04.03.,,,07.11,,M11257,Grif-Tools,Smart-42,1db Ai05-54-40-EH/4096-Z1 (40-00011070-00),,,DÁ
SZÉV2023-088,TRUE,LOG,04.04.,,1,,,M22074,Alpin-SLW,F-TURN-446,1 db 40-70063274-03,,,BÁ
SZÉV2023-089,TRUE,Babett,04.05.,,1,06.12,,M04135,Blauform,Euro-Turn-12B,hajtott szerszám blokk,melléklet,,BÁ
SZÉV2023-090,TRUE,Babett,04.05.,,1,SZTORNÓ!,,M04135,Blauform,Euro-Turn-12B,1 db Baumüller DS45-L-6000ET/1024,,,BÁ
SZÉV2023-091,TRUE,GYE,04.05.,,,-,,M20082,Pannon-Spirál Kft.,VMC-1600F,csövek ,"részletes lista emailben, SZTORNÓ",,DÁ
SZÉV2023-092,TRUE,ERA,04.05.,,,04.05,,,SZÉV tartalék,,Harting készlet feltöltés,részletes lista emailben,,DÁ
SZÉV2023-093,TRUE,GYE,04.06.,,,04.13.,,,SZÉV ,,Harting szerszám,->LOG- B,,DÁ
SZÉV2023-094,TRUE,LOG,04.06.,,,04.06.,,M15228,BEST-TOOL KFT.,VD-510,AiB15-Z1 EBI1135 jeladóval,,,DÁ
SZÉV2023-095,TRUE,IMP,04.06,,,08.08., Buffalo BET2023/02605,"M21002/M10116, 
M17164/M07154, 
M11154/M19095",SZÉV tartalék,"VMC-1600F, EmL-2000, EmR-1020D",szerszámoldó/erőfokozó munkahengerek EmR/EmL/VMC gépekhez,"1db - Varrivál - VMC-1600F - Sjatc PBC_T (Manford)
1db - Log Valve - EML-2000 - (East-Lion)
1db - Magyarmet - EmR-1020D - (Buffalo) - MEGJÖTT !

2db -Hinaka BPT10U5S35L13M-011 - 13 mm löketű erőfokozó szíjas gépekhez (EmL/EmR/EL-850 gépeken)
1db -Hinaka BPF-10U11M110FA erőfokozó direkt hajtásos géphez
1db -Hao Cheng 3,5 tonnás, 13 mm löketű erőfokozó (EmL/EmR gépeken)",,DÁ
SZÉV2023-096,TRUE,ERA,04.11,,,04.11,,,SZÉV tartalék,,RJ45 szerelhető csati,,,DÁ
SZÉV2023-097,TRUE,ERA,04.11,,,,,M12370,Gafor Kft.,HT-52,1db telemecanique xcs-te 7311,,,DÁ
SZÉV2023-098,TRUE,GYE,04.11,,,05.04,,M11253,PRIMARÓ KFT.,SMART-42,"Főorsó csapágy (4000 RPM): 1 db NN3015MBKRE44CC1P4
2 db 7016A5TRDUMP3",,,CsZ
SZÉV2023-099,TRUE,LOG,04.11,,,04.12,,M19054,Horix,EEN-400,"1db A3-Z-EBI (hengeres-retesz nélküli)                
1db DSC10/20LE                                                                                                ",Ai8-at kapunk,,DÁ
SZÉV2023-100,TRUE,ERA,04.12.,,,04.??,,,SZÉV tartalék,,kék vezeték,,,DÁ
SZÉV2023-101,TRUE,GYE,04.12.,,1,-,,M16286,SGN-Steel,EmR-1604D,Főorsó/-motor kuplung,Melléklet - nem aktuális már,,BÁ
SZÉV2023-102,TRUE,GYE,04.13,,1,,,M16268,Bocz,KMC-5135,Hosszító fej csapágyak ÁRAJÁNLAT,részletes lista emailben,,CsZ
SZÉV2023-103,TRUE,IMP,04.17.,,0,08.17.,,M16135,LOKO TRANS,BNC-40120,Beálító ékek a szánokon,"a gép rajzán megjelölt 16, 80, 89, 90",,CsZ
SZÉV2023-104,TRUE,GYE,04.17.,,,04.18.,,,SZÉV tartalék,,"2db 50baros nyomásgomba
2db 700-30-5M szíj
1db 25os koronás alátét   ",<- Kattints bele ! ,,DÁ
SZÉV2023-105,TRUE,ERA,04.18.,,,04.19.,,,SZÉV tartalék,,"10db 5ös wago (5db SOS)
10db 3as wago",,,DÁ
SZÉV2023-106,TRUE,GYE,04.19.,,0,07.05.,,M12360,PEMÜ,Hurco BMC-4020HT,"1 db 3-as pneu sziget
1 db 5/2 monostrabil, rugó vt., 24VDC
2 db 5/3 rugó vt., 24VDC",,,BÁ
SZÉV2023-107,TRUE,GYE,04.20.,,,11.21.,,M10334 + M14178,Sanatmetal,EEN-320,6 db X roló árajánlat,,,DÁ
SZÉV2023-108,TRUE,GYE,04.21.,,1,04.21.,,M18007,SL-FORG KFT,VD-510S,Levegőelőkészítő: AFR-200 AIR filter regulator,,,CsZ
SZÉV2023-109,TRUE,GYE,04.21.,,,,,,SZÉV,,Tóth István szerszám - csapkihúzó,tartozások miatt várunk,,DÁ
SZÉV2023-110,TRUE,ERA,04.24.,,,04.25.,,,SZÉV tartalék,,"10méter kábelvédő anakonda 3/4""",,,DÁ
SZÉV2023-111,TRUE,ERA,04.24.,,,,,M19087/M14165,Sanatmetal, EmR-1200M,"10m 4x10 mm2 olajálló kábel
10m 4x6 mm2 olajálló kábel
+ réz saruk hozzá",,,DÁ
SZÉV2023-112,TRUE,IMP,04.25.,,0,06.14.,,M13233,K-Kart / SZÉV tartalék,BAOMA DK-7740B,huzal alkatrészek,ld. mail,,BÁ
SZÉV2023-113,TRUE,GYE,04.26.,,1,05.04.,,M21166,Premium Parts Design,MM-850,főorsó csapágy készlet: (10.000 RPM) 4 db (2 pár) 7012 CTRDULP3 csapágy,,,LR
SZÉV2023-114,TRUE,IMP,04.27.,,1,,,M07013,Metall-Techno,TMV-850A,csészebillentő pneumatikus munkahenger,,,BÁ
SZÉV2023-115,TRUE,Babett,04.27.,,1,05.??,,M08100,LE BELIER MO ZRT.,WHN-9B,"HPB / VM132L / Ventilátor,10-00028206-00",4db,,CsZ
SZÉV2023-116,TRUE,GYE,05.02.,,1,08.22.,,M15116,Nefab Thermoforming / SZÉV tartalék,EmR-1020,1db DEUBLIN 1109-020-188,,,BÁ
SZÉV2023-117,TRUE,IMP,05.02.,,0,10.16.,,M08133,WIGNER FIZIKAI KUTATÓKÖZPONT,EML-510,Y tengely hátsó védőburkolat - 10-00033117-00,,,CsZ
SZÉV2023-118,TRUE,GYE,05.04.,,,05.05.,,,SZÉV tartalék,,"sárga vízszűrő ?
10db 30TAC csapágy
6db  35TAC csapágy",,,DÁ
SZÉV2023-119,FALSE,IMP,05.04.,,0,,,M13128,PLES Zrt.,EmB-1105B,Y tengely hátsó teleszkópos burkolat,,,CsZ
SZÉV2023-120,TRUE,IMP,05.04.,,0,06.14.,,-,SZÉV tartalék,-,"10 db 640-8YU-30 szíj
10 db 680-8YU-30 szíj",,,BÁ
SZÉV2023-121,TRUE,GYE,05.04.,,,05.10.,,,SZÉV tartalék,,"6202 2RS, 6202ZZ 4-4db",,,DÁ
SZÉV2023-122,TRUE,LOG,05.05.,,,05.08.,,,SZÉV tartalék,,"2db O4RM 40-00010369-10
6db O8RC 40-00010370-10
5db EPU 40-00010364
4db ENDAT 40-00010379-03
2db EPU-R 40-00010364-20",,,DÁ
SZÉV2023-123,TRUE,LOG,05.08.,,0,,,-,SZÉV tartalék,-,"10 db 70045708-00
10 db 70045709-00",,,BÁ
SZÉV2023-124,TRUE,GYE,05.08.,,0,,,-,SZÉV tartalék,-,"10 db 70045707-10
30 db WDS fedélhez távtartó",,távtartó ok,BÁ
SZÉV2023-125,TRUE,ERA,05.08.,,0,05.11.,,-,SZÉV tartalék,-,"100 m 3 x 0,14 qmm árnyékolt kábel
10 db három szintes sorkapocs ST2,5-Pe/L/L
1 tekercs 0,5 qmm kék vezteték",,"részben ok, pótlás alapanyag fv-ben",BÁ
SZÉV2023-126,TRUE,LOG,05.08.,,1,,,M19095,MAGYARMET KFT.,EmR-1020D,1 db WDS szenzor szerelve,,,BÁ
SZÉV2023-127,TRUE,GYE,05.08.,,0,,,M21193,Albametál + SZÉV tartalék,EmL-1020E,5 db 70067462-00,,,BÁ
SZÉV2023-128,TRUE,GYE,05.08.,,0,05.09.,,-,SZÉV tartalék,MM-850,5 db 70067448-00,,,BÁ
SZÉV2023-129,TRUE,GYE,05.08.,,,05.24.,,,SZÉV tartalék,,16db 30TAC62CSUHPN7C,,,DÁ
SZÉV2023-130,TRUE,GYE,,,,05.10.,,,SZÉV tartalék,,M10x1 anya 20db ,,,DÁ
SZÉV2023-131,TRUE,GYE,05.09.,,0,,,M16168,Tobroco Machinery,KAFO VMC-1688,1 db 10-00028780-00 - VD-510S CTS 20 bar egység,,,BÁ
SZÉV2023-132,TRUE,Babett,05.10.,,0,06.16.,,M09183,TOOL SZERSZÁMKÉSZÍTŐ (CNC Centrum),K-HMR1060;(B-6964),2db Baumer electric érzékelő (FPDM 16P5101/S13),,,CsZ
SZÉV2023-133,TRUE,GYE,05.10.,,0,05.31.,,M15292,NCT,FQS-40 GLORIA,25 db behúzó gomba,rajz mellékelve,"Losponczi megrendelve
visszaigazolva 06.16.",BÁ
SZÉV2023-134,TRUE,GYE,05.13.,,0,05.31.,,M21069,Bíró Kft.,EmL-1600,Nagynyomású burkolatmosó kiépítés,,"felmérve, szedés alatt",BÁ
SZÉV2023-135,TRUE,GYE,05.15.,,1,05.23.,,M14320,Metál-CNC 2000,MM-760,3 db 7012CD/P4AQBCA - SKF,,,BÁ
SZÉV2023-136,TRUE,GYE,05.15.,,1,05.26.,BET2023/01757,M14248,ELEKTRO-FER-VILL BT.,MM-1000S,Forgócsatlakozó / ROTOFLUX (A08-1501-05L),10-00016175-00,(Monojet Kft),CsZ
SZÉV2023-137,TRUE,IMP,05.15.,,0,08.08.,BET2023/02529,M15116,NEFAB THERMOFORMING HUNGARY KFT.,EmR-1020D,"ÁA1: komplett főorsó
ÁA2: labirint, forgórész ",,,BÁ
SZÉV2023-138,TRUE,GYE,05.15.,,,05.18.,,-,CERESZ 2000 BT.,EEN-320,1 készlet törlő garnitúra,,,DÁ
SZÉV2023-139,TRUE,GYE,,,,07.26.,,,SZÉV tartalék,,"AiS 100-LW 15 H (Y), CC2-10-1001, 10.000rpm csapágyak garnitúra","GYE: csapágyak
LOG: csapágyazás megrendelése és elszállítása",,DÁ
SZÉV2023-140,TRUE,LOG,05.16.,,0,,,M21193,Albametál,EmL-1020E,"1 db WDS szenzor + ellencsati
1 db SENS + analog csati
1 db vonat szalagkábel",,,BÁ
SZÉV2023-141,TRUE,GYE,05.16.,,0,05.19.,,M17271,Plasma-Tech System Kft.,EmL-850,1 db KAUKAN KAC-6FS-CE,pótlás IMP,,BÁ
SZÉV2023-142,FALSE,IMP,05.18.,,,,,M14247,NÉMETH ISTVÁN EV,MM-1000S,olajleválasztó,(volt Pracam gép),Import vagy rajz alapján gyártani. én nem tudok adni.,CsZ
