SZÉV igény szám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás/Betárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email) ,Megjegyzés,Igénylő
SZÉV2023-207,TRUE,GYE,07.13.,,,07.13.,,,NIVELCO ZRT.,EEN-320,Revfejbe tányérrugó ,,,DÁ
SZÉV2023-208,TRUE,IMP,07.20.,,,,,M11023,METÁLPLASZT KFT. (F-TEAM 2001 KFT.),EmL-3000,"""Y"" teleszkópos burkolat (+vezető +görgő)",,Nem rendelték meg,CsZ
SZÉV2023-209,TRUE,IMP,07.21.,,,10.11.,BET2023/03379,M18214,HYDRO EXTRUSION HUNGARY KFT.,Euromill EM-1500,Szerszámtartó zseb - 5db,,,CsZ
SZÉV2023-210,TRUE,GYE,07.24.,,,,,M19066,ZERLUX HUNGARY KFT.,Gildemeister CT-60, papucsok,"üf legyártja a papucsot, forgácskih. nincs",,CsZ
SZÉV2023-211,TRUE,IMP,07.24.,,,08.10.,BET2023/02617,M17191,VÁMOSGÉP kft.,WFQ-80NCT7,Főorsó csapágy rendelés POSA-tól,,,DÁ
SZÉV2023-212,TRUE,GYE,07.25.,,,08.30.,BET2023/02838,M05089,Biotech,Kondia B-640,"2db szerelt klímacső 2x6m (egyik vége egyenes, másik 90fokos)",,,DÁ
SZÉV2023-213,TRUE,GYE,07.25.,,,07.27.,,M05089,Biotech,Kondia B-640,"2db 7010ACDGA/P4A
2db 7012CTRDULP3",,,DÁ
SZÉV2023-214,TRUE,GYE,07.28.,,,07.28.,,M19004,PETRUS IPARI KERESKEDELMI ÉS SZOLGÁLTATÓ KFT.,KAFO-NCT BMC-2015-5AX,"Csavar: 8x105 vagy 8x110, 10.9 v 12.9 BKNY - 15db",,,CsZ
SZÉV2023-215,FALSE,IMP,07.31.,,,,,M14039,METARAD,TNL-100ADT,"""Z"" roló árajánlat (620mm)",,,CsZ
SZÉV2023-216,TRUE,GYE,07.31.,,,,,M21074,MAGYARMET KFT.,KAFO-NCT SV-1000,karforgató motor,,,CsZ
SZÉV2023-217,TRUE,GYE,07.31.,,,08.21 héten,,M16114,SOMAPAK KFT.,EmR-1200D,Spinflo EOCA-60 PTA1 + olaj,Taksonyból elviszik,,CsZ
SZÉV2023-218,TRUE,GYE,08.01.,,,,,,MOBILINTER KFT.,Paragon GA3670 CNC köszörű,Habor klíma (csatolt kép),nincs ilyen taksonyban sem,,CsZ
SZÉV2023-219,TRUE,GYE,08.04.,,,,,,MST ENGINEERING KFT,,"3db H7007-2
3db 7007 AC-RS UG DB 05",csapágy típus módosítva 08.17,Ajánlatra nem jött válasz,CsZ
SZÉV2023-220,TRUE,GYE,08.04.,,,08.15.,,M23064/M10335,NCT TAKSONY - BIONIKA MEDILINE KFT.,JSL-26AB,4+4db 7013A5TYNSULP4 csapágy,,,DÁ
SZÉV2023-221,TRUE,GYE,08.10.,,,08.14.,,M23053,NCT Taksony,CTX-500,"1db INA 6004 KX4N H0223
1db FAG 6201 RSR 
2db persely  ","képek csatolva, Plusz&Roll-ból",,DÁ
SZÉV2023-222,TRUE,GYE,08.10.,,,08.14.,,M15116,SZKALICZKI ÉS TÁRSAI KFT. (Nefab),EmR-1020D,4db NSK 70BNR10HTV1VDUELP3,,,DÁ
SZÉV2023-223,TRUE,GYE,08.10.,,,08.14.,,M05127,Bíró kft.,K-HM1060,1db BALLUFF BNS 819-99-R-13 1-es görgős kapcsoló,,,DÁ
SZÉV2023-224,FALSE,IMP,08.11.,,0,,,M16117,SOMAPAK KFT.,VH-250VS,függőleges előtoló szerkezet fogaskerék,,,LR
SZÉV2023-225,TRUE,GYE,08.14.,,,08.15,,,TS HUNGÁRIA KFT.,,"1db 575-5M szíj, 
1 kanna zsíroldó + 1db spricni",,,DÁ
SZÉV2023-226,TRUE,GYE,08.14.,,0,08.28.,,,MAGYARMET KFT.,,"2+4 db 10-01000175-00 Szelep / Mágnesszelep vízhez BB 1/2""-os menettel + ZB10A mágnes + stekker","2 db Magyarmet, 4 db SZÉV tartalék",,LR
SZÉV2023-227,TRUE,ERA,08.14.,,,08.22.,,,SZÉV tartalék,,"20 méter 2x0,5-ös árnyékolt kábel",,,DÁ
SZÉV2023-228,TRUE,Babett,08.15.,,,05.06.,,M04152,METALCONSTRUCT ZRT.,TNL-100A-5,Baumüller DAF132L192 főmotor ventillátor 1+2db,,,DÁ
SZÉV2023-229,TRUE,GYE,08.15,,0,08.21,,,SZÉV tartalék,,"1-2 l Pneol 32 préslégszerszám olaj, pneumatika olaj",,,LR
SZÉV2023-230,TRUE,GYE,08.15.,,,08.16.,,,Karbantartások,,"Kék-fehér paplanszűrő
10db sárga vízszűrő
SMC szűrő",,,DÁ
SZÉV2023-231,TRUE,Babett,08.17.,,,2023.09.28. + 2023.10.25.,BET2023/03315 + BET2023/03558,M14106,SCHÖN+SANDT H KFT.,Pinacho ST-180/1000,Pragati BTP-50 revfej. alkatrészek,,,DÁ
SZÉV2023-232,FALSE,IMP,08.17.,,0,,,M10280,MSK,TNL-130A,BF rúdadagoló vezérlőpanel,ÁA-t és szállítási határidőt kérünk 3 db rúdadagoló vezérlőpanelre,,LR
SZÉV2023-233,TRUE,LOG,08.21.,,1,,,,Mátra-Pack,K-B640,1db A9-54-30-EH/4096-Z motor,szév raktárból átjeladózunk egy motort,,DÁ
SZÉV2023-234,TRUE,IMP,08.22.,,,SZTORNÓ,,M14155,DST INDUSTRIAL SOLUTION KFT.,TNL-100A,5 db TNL-100A VDI30 tajvani revfej dió,gép adattábla csatolva,,HA
SZÉV2023-235,TRUE,IMP,08.22.,,,03.05.,,M14155,DST INDUSTRIAL SOLUTION KFT.,TNL-100A,5 db TBMA-160 VDI30 (hajtott szersz.) revfej dió,gép adattábla csatolva,,HA
SZÉV2023-236,TRUE,Babett,08.22.,,,12.06.,,M16282,KELET-SZERSZÁM KFT.,VD-510S,Habor/ Fázisfigyelő olajhűtőhöz E-RVR-APR3CRS,10-00026827-00,,CsZ
SZÉV2023-237,TRUE,,,,,,,,-,,,,,
SZÉV2023-238,TRUE,GYE,08.24.,,0,,,M14017,AI LAB S.C.,BNC-446,"Biztonsági üveg (480x355x17,5 mm) R5 lekerekítéssel",10-00007607-00,Ajánlatra nem jött válasz,CsZ
SZÉV2023-239,TRUE,IMP,08.24.,,0,09.15.,,M17249,GIA FORM,TCS-2000L,vezetéktörlő garnitúra,,,LR
SZÉV2023-240,TRUE,LOG,08.24.,,1,08.31.,,M18106,KÓCZIÁN RÓBERT EV.,MM-850SV,AiS100 főmotor,,,LR
SZÉV2023-241,TRUE,GYE,08.25.,,,08.28.,,,SZÉV tartalék,,"2db SKF S7208 CDGA/HCP4A
+ első pajzs (új féle)",AiS100 CC2-10-5118,,DÁ
SZÉV2023-242,TRUE,Babett,08.28.,,,03.05.,,M22153,JE-ZO kft.,EEN-500,Baruffaldi TAN160 revfej. alkatrészek + SZÉV raktárra 3 db TBMA-200 revfej dió,,,DÁ
SZÉV2023-243,TRUE,GYE,08.28.,,0,08.31.,,,SZÉV tartalék,,10-10005449-00 szűrőbetét 10db,Szűrőbetét rozsdamentes acél 90 (Hydra 90-hez),,CsZ
