Igényszám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email),Megjegyzés GYE
SZÉV2020-0170,TRUE,IMP,06.03.,,0,12.14.,,M17267,Metál CNC 2000 Kft.,EmL-1020B-5TTA,"""Y"" vezetékvédő // EmL-1020B-5TTA",,
SZÉV2020-0171,TRUE,IMP,06.04.,,0,06.23.,,M16142,MST Engineering,HT-76,Parker olajszűrő // HT-76,,
SZÉV2020-0172,TRUE,GYE,06.05.,,0,09.01.,,M17069,PLC Szoftverfejlesztő,KAFO BMC-2012,Lineár vezeték dugó // BMC-2012,,"EG: MEGRENDELVE 07.22. egy kiváltó típus, de azért beérkezés után még rá kell pontosítani, esetleg belepróbálni!
Pannon - RENDELÉS - SZR202002461 - SZÉV2020-0172 - BMC-2012 - Lineár vezeték dugó"
SZÉV2020-0173,TRUE,GYE,06.05,,0,06.09,,M17076,Bányai Művek,MM-760,Gumi ütköző betét // MM-760,,
SZÉV2020-0174,TRUE,GYE,06.08.,,0,06.12.,,-,SZÉV,-,SZÉV Igény - Keskeny Energialánc,,
SZÉV2020-0175,TRUE,GYE,06.08,,0,06.12.,,-,CNC Bakony,BA-150 revfej,Fémszövött kábelvédő // BA-150,,
SZÉV2020-0176,FALSE,BABETT,06.09.,,1,,,M07323,Metal-99,Gildemeister CT-40,Sauter 0.5.470.316 // Gildemeister CT-40,,
SZÉV2020-0177,TRUE,GYE,06.09.,,0,07.22.,,M16284,Kelet-Szerszám,VD-510S,Főorsó 20.000 rpm // VD-510S,,
SZÉV2020-0178,TRUE,GYE,06.10.,,0,12.01.,,-,SZÉV,-,Vegyes anyagigény 2020.06.10.,,"Rendelni S.A.
EG: MEGRENDELNI!!! Tisztázni Adriánnal!"
SZÉV2020-0179,TRUE,IMP,06.10.,,0,09.08.,BET2020/02868,-,K-Kart,TMV-1050A-1,Csészebillentő henger // TMV-1050A,,
SZÉV2020-0180,TRUE,GYE,06.11.,,0,06.16.,2020/000000515,M11271,Micromark,TNL-130A,Olajtörlő gumi,10-00000095-00,
SZÉV2020-0181,TRUE,GYE,06.12.,,0,08.25.,,M14040,KM Mechanika,BFT-130,"""X"" csapágyazás // BFT-130",,"EG: Ez még csak árajánlat! 
07.03. Valkó Z-nek átküldve a cikkszámok!"
SZÉV2020-0182,TRUE,GYE,06.15.,,0,06.24.,,M20006,Inlong Kft.,Kondia HM-1060,Főorsó felújítás // HM1060,,
SZÉV2020-0183,TRUE,IMP,06.15.,,1,12.14.,,M05093,Kovas Kft.,Euromill-1000,"""X""-""Y"" golyósorsók // Euromill-1000",,
SZÉV2020-0184,TRUE,IMP,06.16.,,0,01.08.,,M15247,Hajdu Autotechnika,EmB-1600,Szíjtárcsák + szíj // EmB-1600,,
SZÉV2020-0185,TRUE,GYE,06.16.,,0,06.26.,,M15042,Auth Impex,TCS-2000L,Morse-kúp köszörülés // TCS-2000L,,
SZÉV2020-0186,TRUE,GYE,06.17.,1,0,09.21.,,M10291,Pannon-Spirál,VMC-1600F,Főorsó 10.000 rpm javítás // VMC-1600F,,"EG: MEGRENDELVE 06.22 FIZETENDŐ
Pannon - RENDELÉS - SZR202002069 - SZÉV2020-0186 M10291 VMC-1600F - Főorsó csapágyak"
SZÉV2020-0187,TRUE,GYE,06.17,,0,06.24,,M17148/P18068,Jandem Kft.,Smart S8,POSA Főorsó javítás 10.000 rpm // Smart S8,,
SZÉV2020-0188,TRUE,GYE,06.18.,,0,07.22.,2020/000000645,-,SZÉV,-,"SMC Áramlásmérő, figyelő",,
SZÉV2020-0189,TRUE,IMP,06.18.,,0,07.24.,,M07331,ASK-M,Smart-42,"""Z"" golyósorsó // Smart-42",,
SZÉV2020-0190,TRUE,LOG,06.18.,,0,,2020/000000531,M07331,ASK-M,Smart-42,A6-54-30/4096-Z (kúpos-reteszes),,
SZÉV2020-0191,TRUE,GYE,06.18.,,0,06.19.,2020/000000529,-,SZÉV,tartalék,Tömszelence készlet,,
SZÉV2020-0192,TRUE,GYE,06.19.,,0,,2020/000000538,M17271/P17031,PLASMA-TECH SYSTEMS KFT.,EmL-850,Deublin 902-120-188 // EmL-850,,
SZÉV2020-0193,TRUE,GYE,06.23.,1,0,,,M18194,Gép és Ferrotech,NCT-HBM-160,Főorsó csapágyak // Pegard szögfej,,"EG: MEGRENDELVE 07.02. FIZETENDŐ
Tral - Trade - RENDELÉS - SZÉV2020-0193 - SZR202002213 - M18194 NCT-HBM-160 - Szögfej felújítás csapágyak"
SZÉV2020-0194,TRUE,GYE,06.23.,,0,07.01.,,-,SZÉV,-,"Mikrószűrők, nyomásszabályzó // KAFO",,
SZÉV2020-0195,FALSE,IMP,06.25.,,1,,,M17148/P18068,Jandem Kft.,Smart S8,750-5GT-50 főhajtás szíj // Smart S8,,
SZÉV2020-0196,TRUE,IMP,06.29.,,0,11.09.,,M10291,Pannon-Spirál,VMC-1600F,"Szíjtárcsák , szíj // VMC-1600F",,
SZÉV2020-0197,TRUE,IMP,06.30.,,0,08.04.,,M07013,Metall-Techno,TMV-850A,Főorsó forgóátvezető // TMV-850A,,
SZÉV2020-0198,TRUE,IMP,06.30.,,0,07.13.,,M16142,MST Engineering,HT-76,Olajtartály szívószűrő // HT-76,import beszerzéssel,
SZÉV2020-0199,TRUE,GYE,07.01.,,0,,,M16301,Csaba-Metál,HTL-52,Tokmány nyomás mérőóra // HTL-52,,
SZÉV2020-0200,TRUE,GYE,07.02.,,1,,,,Czetec Krüger,HG-400,Főorsó csúszólemez 10033377-00,,
SZÉV2020-0201,TRUE,GYE,07.01.,,0,07.02.,,M16103/P18040,Bognár és Társa,WHN-13.8,"Szekrényklíma, ajtóretesz",,
SZÉV2020-0202,TRUE,GYE,07.02.,,0,07.17.,2020/000000590,M15123,DalTim,EmB1605G,HP152NL8-10MB,,
SZÉV2020-0203,TRUE,GYE,07.02.,,0,07.16.,,-,K-Kart,TMV-1050A,Főorsó 8.000 rpm javítás // TMV-1050A,,
SZÉV2020-0204,TRUE,IMP,07.06.,,0,09.03.,,M13049,MST Engineering,VMC-1600F,Olajleválasztó szalag // VMC-1600F,,
SZÉV2020-0205,TRUE,IMP,07.06,,0,10.16,,M16142,MST Engineering,HT-76,Hűtővíz szűrő // HT-76,,
SZÉV2020-0206,TRUE,"GYE, IMP",07.06.,,0,09.03.,,M17261/P17008,Schunk Carbon,EmR-1604D,Plexi üvegek // EmR-1604D,,"EG: MEGRENDELVE 07.22.
InHand - RENDELÉS - SZR202002457 - SZÉV2020-0206 - M17261 EmR-1604D - Munkatér ablak polikarbonátok"
SZÉV2020-0207,TRUE,IMP,07.06.,,0,08.03.,,M08052,Fastron Hungária,EmB-V1600MC,"Karforgató hajtómű, cserélőkar // EmB-1600",,
SZÉV2020-0208,TRUE,GYE,07.07.,,0,07.22,2020/000000639,M17051,VFP Systems,EmR-1200D 5TT,Walrus TPHK2T6-6 6 bar-os szivattyú kiépítés,,
SZÉV2020-0209,TRUE,IMP,07.07.,,0,08.25.,,M12268,Doroti Pack,EmB-1304B,Kenéscső elosztó // EmB-1304B,,
SZÉV2020-0210,TRUE,GYE,07.07.,,0,07.22,2020/000000638,M14229,Metarad,TCS-1500,Munkadarab elkapó // TCS-1500,,
SZÉV2020-0211,TRUE,IMP,07.09.,,0,12.14.,,M14151,TECHSZERVIZ KFT,GU3260NC,"GU32X60 / Papírszűrő,10-00028824-00 - 2db",,
SZÉV2020-0212,TRUE,IMP,07.09.,,0,09.08.,BET2020/02868,M17248/P18010,Gia Form,TCS-2000LDT,Szegnyereg munkahenger // TCS-2000LDT,,
SZÉV2020-0213,TRUE,GYE,07.13,,0,07.22,2020/000000641,-,SZÉV,-,"FF06 3/4"" vízszűrő [10-10000612]",,
SZÉV2020-0214,TRUE,GYE,07.13.,,0,07.09.,2020/000000593,M05090,MICROMARK,Chiron FZ-12S,Reed relé / RS1-A,,
SZÉV2020-0215,TRUE,BABETT,07.13.,,0,09.23.,,M08114,KTS Metalltechnik,CME FS-4,Forgácskihordó hajtómű // FS-4,,
SZÉV2020-0216,TRUE,GYE,07.13.,,0,07.22.,S.A.,M18235,JANDEM KFT.,MM-850SV_NCT304,Forgóátvezető: Deublin 904-120-188,,
SZÉV2020-0217,TRUE,GYE,07.13.,,0,08.25.,,-,Hauni Hungária,Helyzetfúró,"""Y"" golyósorsó // Helyzetfúró",,"EG: EZ CSAK ÁRAJÁNLAT!!! NEM LETT MEGRENDELVE!

Bearing - Golyósorsó árajánlat már beküldve
Pannon - Csapágy árajánlat még nem érkezett"
SZÉV2020-0218,TRUE,GYE,07.13.,,0,07.15.,,M16142,MST Engineering,HT-76,Olajtartály szívószűrő,belföldi beszerzéssel,
SZÉV2020-0219,TRUE,GYE,07.14.,,0,10.16.,,M05105,Dendrit,Kondia B640,12.000 rpm főorsó javítás // Kondia B-640,,EG: EZ CSAK ÁRAJÁNLAT!!! NEM LETT MEGRENDELVE!
SZÉV2020-0220,TRUE,GYE,07.14.,,0,09.21.,,M030011,Robokov S.R.O.,EEN-400-1250,X-tengely roló előre és hátra,,"EG: MEGRENDELVE 07.22.
Figra - RENDELÉS - SZR202002459 - SZÉV2020-0220 - M18289 - M19054 - RAKT - EEN-400 - X védőrolók"
SZÉV2020-0221,TRUE,IMP,07.14.,,0,02.05.,,M12071,Metarad,VD-510S,Szerszámtartó // VD-510S,,
SZÉV2020-0222,TRUE,IMP,07.14.,,0,09.18.,,-,Dunaferr-Labor,Proth PSGS 4080AHR,Tengelykapcsoló // Proth PSGS 4080,,
SZÉV2020-0223,TRUE,GYE,07.15.,,0,09.01.,,M17104,Magyarmet,Deckel DMC-70V,Harting aljzat magasított // Deckel DMC-70V,,EG: Nincs mail
SZÉV2020-0224,TRUE,GYE,07.15.,,1,,,-,ROBOKOV-OTILIA SZABOVÁ,-,"Teflon szalag: 4 db. 1,5x100x1000 és 4 db. 2x100x1000",Idegen gép.,EG: EZ CSAK ÁRAJÁNLAT!!! NEM LETT MEGRENDELVE!
SZÉV2020-0225,TRUE,GYE,07.15.,,0,07.20.,,M18030/P18020,Fémtek 1971 Kft.,KAFO KMC-2622,Szögfej jeladó fogaskerék csapágy // KMC-2622,,
SZÉV2020-0226,TRUE,GYE,07.16.,,0,07.17.,,M18228,MST Engineering,MM-850E,5GT-860-30 // MM-850E,,
SZÉV2020-0227,TRUE,IMP,07.20.,,0,,,M14245,S.C.DEVEROM MECANO S.R.L,MM-1000S,"""PU"" klíma panel kártya",,
SZÉV2020-0228,TRUE,IMP,07.20.,,0,09.18.,,M18169,Magyarmet,MXS-650DD,Szűrőbetétek // VU-620,,
SZÉV2020-0229,TRUE,LOG,07.20.,,0,,,M16018,PLASTIC-FORM,EmR-1200D,AiS100 15.000 átfúrt // EmR-1200D,,
SZÉV2020-0230,TRUE,GYE,07.21.,,0,08.12.,BET2020/02564,M03186,N+K Bt.,EEN-400,Tolóajtó védőüveg // EEN-400,,"EG: MEGRENDELVE 07.21.
Fenyvesi - RENDELÉS - SZR202002427 - SZÉV2020-0230 - M03186 EEN-400 - Tolóajtó védőüveg"
SZÉV2020-0231,TRUE,IMP,07.21.,,0,08.04.,BET2022/03140,M18306,Dunaferr-Labor,KAFO CV-7A,Szánkenőtáp + szűrő // KAFO CV-7A,,
SZÉV2020-0232,TRUE,GYE,07.21.,,0,,2020/000000632,-,SZÉV,-,30TAC golyósorsó csapágyak,,
SZÉV2020-0233,TRUE,GYE,07.21.,,0,,2020/000000644,-,SZÉV,-,Elektromos anyagigény,,EG: Nincs mail
SZÉV2020-0234,TRUE,LOG,07.23.,,07.23.,,,M14241,Holes Kft.,EmR-1604D,Csapágyhőmérséklet-figyelő // EmR-1604D,,
SZÉV2020-0235,TRUE,BABETT,07.23.,,0,08.11.,,M19047,Königin Trade,Chmer G43 EDM,Hibaüzenet: 5300 // Chmer G43,,
SZÉV2020-0236,TRUE,GYE,07.23.,,0,09.04.,,M18126/P18088,Huonker Hungária,JSL-32ABMs,Jeladó fogaskerék // JSL-32ABMs,,
SZÉV2020-0237,TRUE,GYE,07.24.,,0,11.13.,,M08073,Magyarmet,TMV-1050A,1129-205-201 forgóátvezető // TMV-1050A,,
SZÉV2020-0238,TRUE,IMP,07.24.,,0,11.13.,,M18170,MST Engineering,MXS-300MT,Főorsó rajzok // MXS-300MT,,
SZÉV2020-0239,TRUE,GYE,07.24,,0,08.11,,M12263;M16070,Nivelco,Smart-42,Főorsó és főmotor csapágyazás // Smart-42,,
SZÉV2020-0240,TRUE,GYE,07.31.,,0,08.25.,,M09079,PRO FORM KFT.,TOMILL-250,Főorsó és főmotor csapágyazás,"Főmot:Lenze MDFKARS 080: 1db- 6004-2RS, 1db- 6205-2RS","Főorsó Smax8.000: 1-db 7010, 1-db 7009"
SZÉV2020-0241,TRUE,JKSZ,08.04.,,x,11.13.,x,x,x,x,x,,
SZÉV2020-0242,TRUE,GYE,08.04.,,0,09.03.,,-,K-Kart,TMV-1050A,"3/8""-os golyóscsap",,
SZÉV2020-0243,TRUE,IMP,08.05.,,1,11.02.,,M14216,V-Forg,VD-510S,Főmotor jeladó // VD-510S,,
SZÉV2020-0244,TRUE,GYE,08.05.,,0,,,M14216,V-Forg,VD-510S,SVM90 12.000 rpm átfúrt tengelyű főmotor // VD-510S,,
SZÉV2020-0245,TRUE,IMP,08.06.,,0,10.16.,,M17165,MVM Ovit,TNL-130A,Tartományváltó // TNL-130A,,BD: meglett a rajz
SZÉV2020-0246,TRUE,GYE,08.07.,,0,08.07.,,-,SZÉV,-,Minimálkészlet / Csapágyak,,
SZÉV2020-0247,TRUE,BABETT,08.07.,,0,10.12.,,M18221,Phoenix Mecano,Chiron FZ-15S,Tengelyfék // Siemens motor,,
SZÉV2020-0248,TRUE,GYE,08.10.,,0,11.13.,ÜF nem kérte,M07037,VÁG-TECH KFT.,EEN-630,"""Z"" golyósorsó védő // EEN-630",,
SZÉV2020-0249,TRUE,IMP,08.10.,,0,10.12.,,M10082,MNR Fémmegmunkáló,EmB-2004B,Főhajtás szíjtárcsák // EmB-2004B,,
SZÉV2020-0250,TRUE,"GYE, LOG",08.11.,,0,08.25.,,M10116,Varrivál Kft.,VMC-1600F,"10.000 rpm főorsó, AiS132 csapágyazás // VMC-1600F",,
SZÉV2020-0251,TRUE,GYE,08.12.,,0,08.13.,BET2020/02566,M13167,Magyarmet,HT-92DT,HPB VM160M csapágyak // HT-92,,
SZÉV2020-0252,TRUE,IMP,08.12.,,0,01.06.,,M08128,Aptiv Delphi,EmL-510,Védőburkolat lemezek // EmL-510,,
SZÉV2020-0253,TRUE,"GYE, IMP",08.12.,,0,11.30.,,M16119,Szabó Kft.,EmR-1200D,Spinflo klíma probléma // EmR-1200D,,
SZÉV2020-0254,TRUE,IMP,08.24.,,0,09.18.,,M13032,Hetech Kft.,Shem vésőgép,Shem vésőgép alkatrészek,,
SZÉV2020-0255,TRUE,LOG,08.24.,,1,11.13.,,M15086,Industribedarf Krüger,HG-400 (V.) (006),HG-400 motororsó tekercselés,,
SZÉV2020-0256,TRUE,GYE,08.24.,,0,08.26.,,-,Certech,EPA-320,BA-150 revfej alkatrészek // EPA-320,,
SZÉV2020-0257,TRUE,IMP,08.25.,,0,01.18.,,M11373,TS Hungária,BNC-26120,Pultmegvezetés // BNC-26120,,
SZÉV2020-0258,TRUE,GYE,08.26.,,0,10.20.,,M11374,TS Hungária,BNC-40120,"630-5M-25 szíj, kuplung csillag // BNC-40120",,
SZÉV2020-0259,TRUE,IMP,08.28.,,0,11.05.,,M14320,Metál-CNC 2000,MM-760,"Főorsó, főmotor szíjtárcsák // MM-760",,
SZÉV2020-0260,TRUE,IMP,08.28.,,0,10.09.,BET2020/03252,M14056,ALU META SISTEM,MM-760,tárcsa forgató csigakerék,,
SZÉV2020-0261,TRUE,GYE,08.28.,,0,09.09.,,M18026/P18161,SL-Forg,TCS-2000L,Kihelyezett gombsor,,
SZÉV2020-0262,TRUE,GYE,08.28.,,0,09.15.,,-,SZÉV,EmL-1020,Első munkatér ablak,"10-00016804-00;  2db, 465x665x6 ",
SZÉV2020-0263,TRUE,IMP,08.28.,,0,09.18.,,-,Tungsram,BAOMA DB 703 Startlyukfúró,Elektróda előtolás kismotor // Baoma DB 703,,
SZÉV2020-0264,TRUE,GYE,08.31.,,0,09.07.,BET2020/02995,M16021,Litze PCE,CHM-16 belső sorjázó,"Belső sorjázó ""Z"" golyósorsó",,
SZÉV2020-0265,FALSE,IMP,08.31.,,1,,,M12236,Járműszerelvény Gyártó Zrt.,JSL-20AB,Rúdadagoló alkatrészek // JSL-20AB,,
SZÉV2020-0266,TRUE,GYE,08.31.,,0,11.23.,,-,SZÉV,-,Szánkenés cuccok,,
SZÉV2020-0267,TRUE,IMP,09.01.,,0,12.08,,M16301,Csaba Metál,HTL-52,Hátsó teleszkópos burkolat // HTL-52,,
SZÉV2020-0268,TRUE,LOG,09.01.,,0,,,M10164,Dömötör István EV,Snupy,304-es vezérlő // Snupy,,
SZÉV2020-0269,FALSE,IMP,09.02.,,0,,,M17229,VFP Systems,Kafo CV-7A,Ködkenés szűrő // KAFO CV-7A,,
SZÉV2020-0270,TRUE,GYE,09.02.,,0,09.07.,2020/000000756,M17275,Inlong,EmL-610L,Főorsó 8.000 rpm csapágyazás // EmL-610,,
SZÉV2020-0271,TRUE,GYE,09.03.,,0,09.04.,,M18050,Gia-Form,Proth PSGC-50100AHR,"3 méter, átmérő 110-es flexibilis cső páraelszívó bekötéshez",,
SZÉV2020-0272,TRUE,GYE,09.03.,,0,09.17.,KIT2020/07280,M14056,ALU META SISTEM,MM-760,Cells 8.000 főorsó felújítás // MM-760,,
SZÉV2020-0273,TRUE,GYE,09.04.,,0,09.14.,,M18050,Gia Form,Proth PSGC-50100AHR,SMC levegőelőkészítő modul,,
SZÉV2020-0274,TRUE,GYE,09.04.,,0,09.07.,2020/000000755,M14094+M11215,FRANK Hungária,EmR-1020D,KAUKAN -KAC-6FS -vezérlőszekrény hűtő -2db,10-00103077-00 (2db),
SZÉV2020-0275,TRUE,GYE,09.09.,,0,09.09.,,M12071,Metarad,VD-510S/1,Tárforgató motor kiváltás // VD-510S,,
SZÉV2020-0276,TRUE,GYE,09.10.,,0,09.10.,,M16307,Axicont,EmR-1200B,"Főorsó, főmotor felújítás 12.000 rpm // EmR-1200B",,
SZÉV2020-0277,TRUE,GYE,09.10.,,0,09.10.,,M14327,Axicont,MM-760,"Főorsó, főmotor felújítás 8.000 rpm // MM-760",,
SZÉV2020-0278,TRUE,IMP,09.11.,,0,10.14.,,M19081,T.E.T.T. Mérnökiroda,KAFO BMC-3127,Kafo fej rajzok // BMC-3127,,
SZÉV2020-0279,TRUE,IMP,09.11.,,0,09.18.,,M14056,ALU META SISTEM,MM-760,Cells főorsó fődarabok // MM-760,,
SZÉV2020-0280,TRUE,IMP,09.14.,,0,09.18.,,M14050,Metaplast,MM-760,Főorsó fordulatszám növelés // MM-760,,
SZÉV2020-0281,TRUE,GYE,09.16.,,0,11.23.,,M15168,Hajdu Autotechnika,EmB-2004,Parker 30 bar-os szűrőbetétek,,
SZÉV2020-0282,TRUE,IMP,09.17.,,0,11.05.,,-,Trimble,TNL-100AL-DT,"""X"" golyósorsó // TNL-100",,
SZÉV2020-0283,TRUE,GYE,09.17.,,0,09.29.,,M13166,Pro Form,EmR-1304D,Royal főorsó 15.000 rpm felújítás // EmR-1304D,,
SZÉV2020-0284,TRUE,GYE,09.17.,,0,09.17.,2020/000000796,M07399/M18018,Petrus,EmL-610,"""Y"" golyósorsó csapágyazás // EmL-610",,
SZÉV2020-0285,TRUE,GYE,09.17.,,0,09.17.,2020/000000797,M14050,Metaplast,MM-760,MM-760 8.000 rpm főorsó csapágyazás,,
SZÉV2020-0286,TRUE,IMP,09.18.,,0,11.02.,,M14218,Magyarmet,VD-510S,20 bar CTS szivattyú // VD-510S,,
SZÉV2020-0287,TRUE,IMP,09.18.,,0,09.25.,,P19068,Rák&Rák,KAFO BMC-2012A,PolarJet 70 bar CTS // BMC-2012,,
SZÉV2020-0288,TRUE,GYE,09.21.,,0,09.22.,,M16107,GRIF-TOOLS KFT.,EmL-1020E,30TAC - 16db csapágy,X-Y orsó csapágy csere (többi tartalék),
SZÉV2020-0289,TRUE,KE,09.22,,0,10.15.,,M07171,METARAD CNC,TNL-85ADT,Ajtókapcsoló / Omron D4BL-2CRA (biztonsági ajtóretesz),,
SZÉV2020-0290,TRUE,IMP,09.23.,,0,11.02.,,M15168,Hajdu Autotechnika,EmB-2004D,"""Z"" vezetékvédő burkolat // EmB-2004D",,
SZÉV2020-0291,TRUE,GYE,09.23.,,0,10.07.,,M12054,Human Metal,Emco Compact 6p,Közlő tengely revfejbe // Emco Compact,,
SZÉV2020-0292,TRUE,IMP,09.24.,,0,12.10.,,M12230,Inconex,EmB-2005G,#50-es cserélőkar // EmB-2005G,,
SZÉV2020-0293,TRUE,KE,09.25.,,0,09.30.,2020/000000836,-,SZÉV,-,Harting tüskék,,
SZÉV2020-0294,TRUE,GYE,09.28.,,0,10.27.,,-,ISD Dunaferr,Seiger SLZ-360 eszterga,Seiger eszterga főorsó csapágyak,,
SZÉV2020-0295,TRUE,BABETT,09.29.,,0,,,M14229,Metarad,TCS-1500,Revfej tömítések // Baruffaldi TBMA-200,,
SZÉV2020-0296,TRUE,IMP,09.29.,,1,02.03.,,M15248,Hajdu Autotechnika,EmR-1200D,Vezetőkocsik // EmR-1200D,,
SZÉV2020-0297,TRUE,IMP,09.30.,,0,11.02.,,-,Howmet Aerospace,Chmer EDM CM-A43C,Jog Box error // Chmer EDM,,
SZÉV2020-0298,TRUE,GYE,09.30.,,0,10.19.,,M16266,POLIOL PET PACKAGING KFT.,TCS-2500,Hidraulika szelep DSG-01-2D2-D24-50,,
SZÉV2020-0299,TRUE,GYE,10.01.,,0,10.20.,,-,Log Valve,TMV-1050A,Főorsó javítás // TMV-1050A,,
SZÉV2020-0300,TRUE,GYE,10.01.,,0,10.12.,2020/000000847,M06118,Medimetal,TMV-510,TMV-510 főorsó javítás,,
SZÉV2020-0301,TRUE,IMP,10.02.,,0,10.16.,,M18050/P18032,Gia Form,Proth PSGC-50100AHR,Szűrőtekercs // Proth PSGC-50100,,
SZÉV2020-0302,TRUE,GYE,10.02.,,0,10.29.,,M14331,Csaba-Berényi,EmR-1605B,Royal 6.000 rpm főorsó csapágyak // EmR-1605B,,
SZÉV2020-0303,TRUE,GYE,10.06.,,0,10.08.,2020/000000853,M16148/P18194,Metarad,SLOVTOS – NCT S-280,Slovtos S-280 főhajtás szíj,,
SZÉV2020-0304,TRUE,BABETT,10.06.,,0,11.09.,,M13074,Magyarmet,MAHO GR300C,Hűtővíz szivattyú // MAHO GR300C,,
SZÉV2020-0305,TRUE,GYE,10.06,,0,10.15.,2020/000000877,-,S.C. ROBAC Industriel,Deckel DMC-70V,Siemens motor javítás // Deckel DMC-70V,,
SZÉV2020-0306,TRUE,IMP,10.06.,,0,11.10.,,M14285,SPH Plusz,KAFO VMC-1688,ISO50-es cserélőkar betét // VMC-1688,,
SZÉV2020-0307,TRUE,IMP,10.07.,,0,,,P19020/M17228,Rák&Rák,MXS-300MT,Big-Plus főorsó // MXS-300MT,,
SZÉV2020-0308,TRUE,GYE,10.08.,,0,10.12.,,M18180/P18506,DGA,Kafo BMC-2012,Olajok karbantartáshoz // Kafo BMC-2012,,
SZÉV2020-0309,TRUE,IMP,10.12,,0,10.29.,,M14331,Csaba-Berényi,EmR-1605B,Royal #50 főorsó csapágyak // EmR-1605B,,
SZÉV2020-0310,TRUE,GYE,10.12.,,0,10.19.,,-,Alu META SISTEM,MM-760,Szerszámcserélő betét DVC5A0601 (eredeti),,
SZÉV2020-0311,TRUE,IMP,10.13.,,0,11.30.,BET2020/03563,M19154,METÁL-CNC 2000 KFT.,BAOMA  DK7732F,"PCB BMW2008-1B,10-00009611-00",,
SZÉV2020-0312,TRUE,BABETT,10.13.,,0,01.08.,,M10164,Dömötör István EV,Snupy,Sauter szerszám rögzítőcsap // Snupy,,
SZÉV2020-0313,TRUE,GYE,10.14.,,0,11.23.,2020/000000922,M10116,Varrivál Kft.,VMC-1600F,Javítási anyagok // VMC-1600F,,
SZÉV2020-0314,TRUE,GYE,10.14.,,0,10.15.,2020/000000876,M06195,Plastic-Form,Kondia A6,Siemens főmotor javítás // Kondia A6,,
SZÉV2020-0315,FALSE,IMP,10.16.,,0,,,M18246,Losonczi Kft.,MXS-650DD,#40-es cserélőkar // VU-620,,
SZÉV2020-0316,FALSE,IMP,10.19.,,0,,,-,SZÉV,Kafo SV-1000,Mindman levegőelőkészítő // SV-100,,
SZÉV2020-0317,TRUE,GYE,10.20.,,0,11.02.,,-,Logisztika,AiS100,AiS100 (CC2-10-4034) csapágyazás,,
SZÉV2020-0318,TRUE,BABETT,10.22.,,0,11.19.,BET2020/03822,M07129,Bombardier,CME FS-6,CME FS-6 szögfej tömítéskészlet,,
SZÉV2020-0319,TRUE,GYE,10.22.,,0,10.27.,SZR2020/03638,M16148/P18194,Metarad,SLOVTOS – NCT S-280,S-280 eszterga főorsó csapágyak,,
SZÉV2020-0320,TRUE,GYE,10.26.,,0,11.23.,,M15206,SPH Plusz,MM-760,Oldalsó védőüveg // MM-760,,
SZÉV2020-0321,FALSE,BABETT,10.27.,,1,,,M12263,Nivelco,Smart-42,VDI20 hajtott szerszám // TBMA-100,,
SZÉV2020-0322,TRUE,GYE,10.28.,,0,11.09.,,M18264,Elektronikai Kutatóközpont Kft.,VD-510S 5AX,VD-510S 5AX főorsó csapágyak - 20.000 rpm,,
SZÉV2020-0323,TRUE,GYE,10.28,,0,11.09.,,M18262,Magyarmet,VD-510S,VD-510S főorsó csapágyak - 20.000 rpm,,
SZÉV2020-0324,TRUE,GYE,10.28.,,0,12.14.,,M15093,Vamav,HRB-4000 Sínfúrógép,Szerszámtár alkatrészek // Sínfúró,,
SZÉV2020-0325,TRUE,IMP,10.29.,,1,03.25.,,M18236/P20044,Jandem,MM-850SV,Olajhűtő szivattyú // MM-850SV,,
SZÉV2020-0326,TRUE,IMP,10.29.,,0,12.10.,,M17053,Gia Form,EmR-610D,30 bar-os szivattyú,,
SZÉV2020-0327,TRUE,IMP,10.29,,0,11.30.,,M14140,Varrivál Kft.,JCL-75ABMs(JCL-60TSM),Forgácskihordó lánc szegmens // JCL-60,,
SZÉV2020-0328,TRUE,GYE,10.30.,,1,10.30.,2020/000000930,M11175,Scularie Reparatii Utilaje S.A.,EmL-1020D,Deublin 1109-020-188 hűtőbordás,,
SZÉV2020-0329,FALSE,IMP,11.02.,,1,,,-,Log Valve,TMV-1050A,TMV-1050 főorsó szíjtárcsa,,
SZÉV2020-0330,TRUE,GYE,11.02.,,1,11.06.,,-,Log Valve,TMV-1050A,TMV-1050 főorsó első labirint gyűrű,,
SZÉV2020-0331,TRUE,GYE,11.03.,,1,11.17.,,M14287,Duna Precizíós,EmR-610D,15.000-es főorsó javítás // EmR-610D,,
SZÉV2020-0332,TRUE,BABETT,11.03.,,1,01.28.,,M020128,Zavod Konvektor,Euroturn-12,SAUTER 0.5.480.510 alkatrészek,,
SZÉV2020-0333,TRUE,LOG,11.04.,,1,11.06.,BET2020/03642,M12282,Elin Metal,IR1250F40,AiB15-54-25-EH/4096 motor igény,,
SZÉV2020-0334,TRUE,GYE,11.04.,,0,11.16.,,M12282,Elin Metal,IR1250F40,Motor adapter lap + tengelykapcsoló // Orosz horizont,,
SZÉV2020-0335,TRUE,GYE,11.05.,,0,11.09.,2020/000000957,-,SZÉV,-,Vízszűrő betét,,
